"","Player","Tm","Salary","idTeam","gp","gs","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","fg2m","fg2a","pctFG2","minutes","ftm","fta","oreb","dreb","treb","ast","stl","blk","tov","pf","pts"
"1","Stephen Curry","GSW",34682550,0,625,619,5017,10509,0.4774,2129,4880,0,0.903341,2888,5629,0.513057381417659,21528,2271,2514,441,2322,2763,4227,1108,129,1971,1555,14434
"2","LeBron James","CLE",33285709,0,1143,1142,11280,22383,0.503953,1616,4701,0,0.7392,9664,17682,0.546544508539758,44296,6862,9283,1386,7029,8415,8208,1865,888,3966,2113,31038
"3","Paul Millsap","DEN",31269231,0,875,596,4686,9539,0.491246,372,1127,0,0.734366,4314,8412,0.51283880171184,25825,2701,3678,1975,4524,6499,2027,1139,912,1594,2737,12445
"4","Gordon Hayward","BOS",29727900,0,517,409,2722,6131,0.443973,689,1874,0,0.820404,2033,4257,0.477566361287292,16167,1946,2372,377,1773,2150,1762,527,215,1059,924,8079
"5","Blake Griffin","DET",29512900,0,529,529,4342,8543,0.508252,191,590,0,0.683356,4151,7953,0.521941405758833,18537,2484,3635,1228,3624,4852,2288,495,286,1324,1551,11359
"6","Kyle Lowry","TOR",28703704,0,791,555,3676,8656,0.424676,1375,3717,0,0.80321,2301,4939,0.465883782142134,24570,2702,3364,663,2679,3342,4660,1065,210,1765,2134,11429
"7","Russell Westbrook","OKC",28530608,0,748,731,5996,13780,0.435123,803,2584,0,0.813531,5193,11196,0.463826366559486,25699,4389,5395,1262,3691,4953,6113,1300,217,3001,1816,17184
"8","Mike Conley","MEM",28530608,0,718,688,3692,8364,0.441415,931,2468,0,0.814441,2761,5896,0.468283582089552,23357,1940,2382,300,1788,2088,4060,1067,140,1456,1425,10255
"9","James Harden","HOU",28299399,0,687,474,4656,10502,0.443344,1647,4523,0,0.854174,3009,5979,0.503261414952333,23238,4850,5678,516,2966,3482,4157,1031,325,2383,1733,15809
"10","DeMar DeRozan","TOR",27739975,0,675,663,4716,10532,0.447778,325,1128,0,0.827449,4391,9404,0.466928966397278,22986,3539,4277,514,2225,2739,2078,655,185,1323,1499,13296
"11","Al Horford","BOS",27734405,0,718,714,4291,8180,0.524572,292,789,0,0.750435,3999,7391,0.541063455554052,23813,1293,1723,1575,4564,6139,2265,577,861,1162,1675,10167
"12","Carmelo Anthony","OKC",26243760,0,1054,1054,9088,20240,0.449011,1341,3861,0,0.811777,7747,16379,0.472983698638501,37834,5900,7268,1809,5075,6884,3160,1077,520,2824,3030,25417
"13","Damian Lillard","POR",26153057,0,469,469,3596,8329,0.431744,1269,3447,0,0.884472,2327,4882,0.476648914379353,17067,2381,2692,279,1639,1918,2928,445,137,1303,967,10842
"14","Jrue Holiday","NOP",25686667,0,585,512,3462,7701,0.449552,687,1907,0,0.787729,2775,5794,0.478943734898171,19183,1117,1418,465,1700,2165,3633,855,262,1571,1347,8728
"15","Chris Bosh","MIA",25289390,0,893,881,6209,12581,0.493521,305,910,0,0.798783,5904,11671,0.505869248564819,31935,4466,5591,1927,5665,7592,1795,730,932,1807,2159,17189
"16","Kevin Durant","GSW",2.5e+07,0,771,771,7093,14476,0.489983,1433,3734,0,0.882333,5660,10742,0.526903742319866,28603,5294,6000,584,4911,5495,3029,890,857,2428,1463,20913
"17","Chris Paul","HOU",24599495,0,892,892,5860,12412,0.472123,1141,3071,0,0.86848,4719,9341,0.505192163579916,31492,3830,4410,605,3392,3997,8708,2008,104,2152,2196,16691
"18","Bradley Beal","WAS",23775506,0,406,372,2805,6292,0.445804,862,2191,0,0.794432,1943,4101,0.473786881248476,13751,1113,1401,309,1207,1516,1376,430,133,823,848,7585
"19","Anthony Davis","NOP",23775506,0,410,405,3623,7004,0.517275,133,431,0,0.79543,3490,6573,0.530959987828997,14258,2228,2801,1034,3200,4234,764,551,986,757,974,9607
"20","Andre Drummond","DET",23775506,0,463,413,2682,4924,0.544679,5,30,0,0.421389,2677,4894,0.546996322026972,14063,922,2188,2185,4007,6192,514,590,707,794,1434,6291
"21","Hassan Whiteside","MIA",23775506,0,271,206,1522,2647,0.57499,2,2,0,0.626808,1520,2645,0.574669187145558,7256,650,1037,866,2226,3092,146,168,662,446,701,3696
"22","Dwight Howard","CHO",23500000,0,1035,1034,6494,11148,0.582526,6,63,0,0.566368,6488,11085,0.585295444294091,35754,5005,8837,3647,9454,13101,1531,979,2047,3043,3341,17999
"23","Chandler Parsons","MEM",23112004,0,410,366,2056,4411,0.466107,654,1736,0,0.708089,1402,2675,0.52411214953271,12697,604,853,351,1544,1895,1155,389,146,622,817,5370
"24","Harrison Barnes","DAL",23112004,0,463,402,2294,5084,0.451219,484,1319,0,0.78863,1810,3765,0.48074369189907,14059,985,1249,483,1801,2284,715,333,92,533,802,6057
"25","Marc Gasol","MEM",22642350,0,716,709,4038,8295,0.486799,225,654,0,0.778796,3813,7641,0.499018453082057,24131,2549,3273,1262,4225,5487,2391,648,1072,1488,2095,10850
"26","Kevin Love","CLE",22642350,0,635,553,3844,8663,0.443726,1024,2765,0,0.824392,2820,5898,0.478128179043744,20424,2920,3542,1885,5273,7158,1470,447,298,1229,1355,11632
"27","Brook Lopez","LAL",22642350,0,636,599,4413,8791,0.50199,249,743,0,0.789028,4164,8048,0.517395626242545,19854,2330,2953,1560,2739,4299,992,358,1070,1253,1768,11405
"28","DeAndre Jordan","LAC",22642350,0,750,638,2860,4252,0.672624,1,11,0,0.445648,2859,4241,0.674133459089837,21045,1357,3045,2435,5553,7988,557,448,1277,982,2015,7078
"29","Steven Adams","OKC",22471910,0,387,323,1393,2377,0.586032,0,5,0,0.567592,1393,2372,0.587268128161889,9859,613,1080,1225,1461,2686,345,301,388,528,1058,3399
"30","Giannis Antetokounmpo","MIL",22471910,0,393,328,2467,4872,0.506362,168,591,0,0.745816,2299,4281,0.537024059799112,12862,1649,2211,589,2357,2946,1497,467,516,960,1162,6751
"31","Nicolas Batum","CHO",22434783,0,692,639,2964,6827,0.434158,1117,3149,0,0.839274,1847,3678,0.502175095160413,21873,1295,1543,739,2908,3647,2654,659,449,1310,1217,8340
"32","Rudy Gobert","UTA",21974719,0,325,234,1181,1924,0.613825,0,3,0,0.628939,1181,1921,0.614783966684019,9084,878,1396,1003,2231,3234,384,210,708,511,794,3240
"33","LaMarcus Aldridge","SAS",21461010,0,869,828,6844,14006,0.488647,111,385,0,0.806087,6733,13621,0.49431025622201,30077,3072,3811,2330,4894,7224,1662,654,917,1354,2166,16871
"34","Victor Oladipo","IND",2.1e+07,0,366,309,2342,5266,0.444739,544,1542,0,0.799573,1798,3724,0.4828141783029,12213,1125,1407,228,1429,1657,1403,620,188,951,901,6353
"35","Enes Kanter","NYK",20566802,0,516,185,2462,4565,0.53932,32,109,0,0.778985,2430,4456,0.545332136445242,11309,1075,1380,1458,2319,3777,374,204,234,804,1129,6031
"36","Danilo Gallinari","LAC",20559599,0,481,411,2222,5303,0.419008,872,2373,0,0.865069,1350,2930,0.460750853242321,14992,2058,2379,361,1891,2252,940,387,212,629,903,7374
"37","Serge Ibaka","TOR",20061729,0,679,568,3408,6654,0.512173,413,1126,0,0.760731,2995,5528,0.541787264833575,19615,957,1258,1474,3417,4891,446,294,1523,866,1915,8186
"38","George Hill","CLE",2e+07,0,666,434,2722,6003,0.453439,831,2170,0,0.800335,1891,3833,0.493347247586747,19169,1431,1788,375,1730,2105,2189,616,203,877,1417,7706
"39","Ryan Anderson","HOU",19578455,0,622,281,2732,6457,0.423106,1315,3446,0,0.854814,1417,3011,0.470607771504484,16433,1154,1350,1229,2123,3352,565,327,216,591,1237,7933
"40","Paul George","OKC",19508958,0,527,479,3351,7758,0.431941,1141,3034,0,0.844776,2210,4724,0.467823878069433,17583,1981,2345,458,2805,3263,1682,901,233,1353,1423,9824
"41","Allen Crabbe","BRK",19332500,0,301,92,1026,2338,0.438836,483,1218,0,0.849489,543,1120,0.484821428571429,7339,333,392,82,766,848,355,185,87,222,615,2868
"42","Jimmy Butler","MIN",19301070,0,458,353,2444,5404,0.452257,408,1202,0,0.832333,2036,4202,0.484531175630652,15043,2219,2666,647,1588,2235,1542,699,207,670,645,7515
"43","Jeff Teague","MIN",1.9e+07,0,670,535,3036,6795,0.446799,594,1663,0,0.844454,2442,5132,0.475837879968823,18485,1873,2218,216,1437,1653,3802,815,228,1526,1290,8539
"44","Kawhi Leonard","SAS",18868625,0,407,380,2429,4910,0.494704,529,1370,0,0.846359,1900,3540,0.536723163841808,12364,1267,1497,509,2002,2511,924,723,289,558,706,6654
"45","Kyrie Irving","BOS",18868625,0,441,441,3543,7675,0.461628,889,2294,0,0.875063,2654,5381,0.493216874186954,14955,1723,1969,314,1203,1517,2421,569,143,1171,951,9698
"46","John Wall","WAS",18063850,0,541,529,3697,8555,0.432144,488,1494,0,0.786123,3209,7061,0.454468205636595,19440,2334,2969,315,2052,2367,5003,927,367,2070,1218,10216
"47","DeMarcus Cousins","NOP",18063850,0,535,513,4105,8924,0.459995,316,936,0,0.736764,3789,7988,0.474336504757136,17309,2992,4061,1522,4362,5884,1725,765,653,1928,2066,11518
"48","Greg Monroe","PHO",17884176,0,589,415,3247,6310,0.51458,0,12,0,0.706972,3247,6298,0.515560495395364,16995,1602,2266,1702,3355,5057,1330,658,355,1154,1345,8096
"49","Wesley Matthews","DAL",17884176,0,655,595,3108,7274,0.427275,1405,3667,0,0.827387,1703,3607,0.472137510396451,21489,1438,1738,351,1719,2070,1444,736,129,867,1455,9059
"50","Klay Thompson","GSW",17826150,0,537,500,3857,8422,0.457967,1557,3692,0,0.851549,2300,4730,0.486257928118393,17686,1044,1226,236,1595,1831,1230,477,285,938,1156,10315
"51","Joakim Noah","NYK",17765000,0,625,511,2134,4353,0.490236,0,15,0,0.698711,2134,4338,0.491931765790687,17902,1301,1862,2078,3726,5804,1811,513,842,1077,1769,5569
"52","Kentavious Caldwell-Pope","LAL",17745894,0,388,348,1685,4118,0.409179,638,1850,0,0.785714,1047,2268,0.461640211640212,11945,649,826,269,1059,1328,657,473,75,410,736,4657
"53","Luol Deng","LAL",17190000,0,880,826,5071,11139,0.455247,644,1938,0,0.770063,4427,9201,0.481143353983263,30549,2418,3140,1442,3953,5395,2024,865,436,1445,1475,13204
"54","Evan Turner","POR",17131148,0,613,293,2519,5821,0.432743,259,860,0,0.78751,2260,4961,0.455553315863737,17082,971,1233,343,2569,2912,2141,490,158,1127,1250,6268
"55","Goran Dragic","MIA",17000450,0,722,486,3669,7831,0.468522,810,2227,0,0.761558,2859,5604,0.51017130620985,20245,1779,2336,540,1664,2204,3474,741,136,1634,1691,9927
"56","Evan Fournier","ORL",1.7e+07,0,376,234,1761,3932,0.447863,607,1601,0,0.804413,1154,2331,0.495066495066495,10230,802,997,168,836,1004,857,302,32,583,892,4931
"57","Bismack Biyombo","ORL",1.7e+07,0,529,210,992,1933,0.513191,0,2,0,0.566037,992,1931,0.513723459347488,11053,660,1166,1054,2359,3413,255,138,762,495,1189,2644
"58","Kent Bazemore","ATL",16910113,0,416,222,1230,2912,0.42239,410,1139,0,0.717981,820,1773,0.462492949802594,8337,555,773,134,1085,1219,767,401,185,590,744,3425
"59","Robert Covington","PHI",16698103,0,291,245,1216,3050,0.398688,681,1901,0,0.819602,535,1149,0.46562228024369,8543,577,704,279,1330,1609,460,468,212,529,865,3690
"60","Ian Mahinmi","WAS",16661641,0,546,92,1050,1940,0.541237,0,8,0,0.607427,1050,1932,0.543478260869565,9046,687,1131,811,1548,2359,283,301,383,535,1437,2787
"61","Tim Hardaway","NYK",16500000,0,867,770,5640,13076,0.431324,1542,4345,0,0.781795,4098,8731,0.46936204329401,30625,2551,3263,544,2311,2855,7095,1428,129,2481,2027,15373
"62","Draymond Green","GSW",16400000,0,467,319,1564,3569,0.438217,438,1338,0,0.707227,1126,2231,0.504706409681757,12914,773,1093,565,2654,3219,2135,634,506,920,1285,4339
"63","Tristan Thompson","CLE",16400000,0,519,338,1855,3582,0.517867,0,9,0,0.607855,1855,3573,0.519171564511615,14453,975,1604,1716,2662,4378,418,256,381,556,1225,4685
"64","Reggie Jackson","DET",1.6e+07,0,448,250,2105,4894,0.430118,428,1339,0,0.857273,1677,3555,0.471729957805907,11089,937,1093,242,1109,1351,1986,322,52,879,827,5575
"65","Pau Gasol","SAS",1.6e+07,0,1196,1144,7938,15635,0.507707,173,473,0,0.753787,7765,15162,0.512135602163303,40641,4727,6271,3063,8105,11168,3873,601,1926,2622,2603,20776
"66","Tobias Harris","LAC",1.6e+07,0,464,344,2576,5519,0.466751,531,1494,0,0.811721,2045,4025,0.508074534161491,13744,1108,1365,481,2124,2605,800,351,225,599,892,6791
"67","Dwyane Wade","CHI",15550000,0,982,907,8038,16657,0.482559,463,1613,0,0.766666,7575,15044,0.50352299920234,33893,5543,7230,1189,3459,4648,5400,1561,847,3160,2210,22082
"68","Dennis Schroder","ATL",15500000,0,352,161,1733,3994,0.4339,315,985,0,0.826839,1418,3009,0.471252907942838,8341,764,924,145,739,884,1675,282,35,835,615,4545
"69","Jonas Valanciunas","TOR",15460675,0,440,434,2020,3619,0.558165,31,78,0,0.784875,1989,3541,0.561705732843829,11209,1069,1362,1155,2590,3745,321,165,456,645,1225,5140
"70","Tony Parker","SAS",15453126,0,1198,1151,7564,15367,0.492223,506,1552,0,0.751874,7058,13815,0.510893955845096,37276,3309,4401,427,2886,3313,6829,1032,91,2790,2006,18943
"71","Timofey Mozgov","BRK",15280000,0,454,273,1230,2301,0.53455,11,58,0,0.738329,1219,2243,0.543468568880963,8182,601,814,769,1456,2225,250,139,383,527,998,3072
"72","Andre Iguodala","GSW",14814815,0,1040,766,4691,10096,0.464639,941,2822,0,0.712542,3750,7274,0.515534781413253,35456,2744,3851,991,4388,5379,4605,1602,501,2058,1915,13067
"73","DeMarre Carroll","BRK",14800000,0,487,331,1554,3563,0.436149,544,1496,0,0.737831,1010,2067,0.488630865989357,11681,667,904,575,1475,2050,616,485,136,408,981,4319
"74","Thaddeus Young","IND",14796348,0,820,590,4747,9520,0.498634,356,1091,0,0.675129,4391,8429,0.520939613240005,25201,1170,1733,1645,3231,4876,1287,1192,331,1170,1788,11020
"75","Eric Bledsoe","MIL",14500000,0,492,330,2381,5297,0.449499,484,1435,0,0.79907,1897,3862,0.491196271361989,13630,1547,1936,388,1479,1867,2294,731,246,1345,1012,6793
"76","Ricky Rubio","UTA",14275000,0,430,410,1483,3855,0.384695,334,1029,0,0.835995,1149,2826,0.406581740976645,13471,1361,1628,297,1552,1849,3401,868,56,1183,1126,4661
"77","Joe Ingles","UTA",14136364,0,324,141,810,1814,0.446527,480,1155,0,0.760765,330,659,0.500758725341426,7464,159,209,88,843,931,895,313,42,429,563,2259
"78","Gorgui Dieng","MIN",14112360,0,376,185,1198,2367,0.506125,43,131,0,0.784543,1155,2236,0.51654740608229,9217,670,854,777,1724,2501,557,328,406,486,916,3109
"79","Khris Middleton","MIL",14100000,0,378,306,2094,4611,0.454131,577,1475,0,0.877176,1517,3136,0.483737244897959,12037,957,1091,212,1349,1561,1137,511,82,683,1032,5722
"80","Mason Plumlee","DEN",14041096,0,389,239,1301,2299,0.565898,0,17,0,0.56561,1301,2282,0.57011393514461,8688,750,1326,777,1676,2453,786,300,376,574,1041,3352
"81","Taj Gibson","MIN",1.4e+07,0,667,327,2695,5324,0.506198,11,70,0,0.703175,2684,5254,0.51084887704606,17383,1085,1543,1568,2705,4273,676,370,769,820,1712,6486
"82","James Johnson","MIA",13954000,0,547,186,1725,3583,0.48144,241,806,0,0.69375,1484,2777,0.534389629096147,11298,666,960,470,1520,1990,1146,437,511,806,1227,4357
"83","Robin Lopez","CHI",13788500,0,692,544,2599,4936,0.526539,4,20,0,0.760263,2595,4916,0.52786818551668,16043,1037,1364,1716,2043,3759,553,178,849,758,1412,6239
"84","Brandon Knight","PHO",13618750,0,382,320,2092,5047,0.414503,625,1752,0,0.812048,1467,3295,0.445220030349014,11939,1011,1245,222,1055,1277,1629,354,70,1018,782,5820
"85","Marvin Williams","CHO",13168750,0,939,752,3534,7953,0.44436,850,2356,0,0.807963,2684,5597,0.479542612113632,26896,1948,2411,1170,3786,4956,1221,717,486,941,1896,9866
"86","Tyson Chandler","PHO",1.3e+07,0,1079,875,3483,5847,0.59569,0,10,0,0.646375,3483,5837,0.596710639026897,30524,2336,3614,3412,6682,10094,924,603,1304,1606,3126,9302
"87","Michael Kidd-Gilchrist","CHO",1.3e+07,0,357,353,1282,2687,0.477112,7,36,0,0.706843,1275,2651,0.480950584685024,9519,692,979,601,1506,2107,440,262,259,341,763,3263
"88","Eric Gordon","HOU",12943020,0,561,443,3187,7407,0.430268,1241,3298,0,0.81568,1946,4109,0.473594548551959,18626,1779,2181,249,1172,1421,1713,535,187,1180,1101,9394
