"","Player","Tm","Salary","idTeam","gp","gs","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","fg2m","fg2a","pctFG2","minutes","ftm","fta","oreb","dreb","treb","ast","stl","blk","tov","pf","pts"
"1","Stephen Curry","GSW",34682550,0,625,619,8,16.8,0.477,3.4,7.8,0,0.903,4.6,9,0.511111111111111,34.4,3.6,4,0.7,3.7,4.4,6.8,1.8,0.2,3.2,2.5,23.1
"2","LeBron James","CLE",33285709,0,1143,1142,9.9,19.6,0.504,1.4,4.1,0,0.739,8.5,15.5,0.548387096774194,38.8,6,8.1,1.2,6.1,7.4,7.2,1.6,0.8,3.5,1.8,27.2
"3","Paul Millsap","DEN",31269231,0,875,596,5.4,10.9,0.491,0.4,1.3,0,0.734,5,9.6,0.520833333333333,29.5,3.1,4.2,2.3,5.2,7.4,2.3,1.3,1,1.8,3.1,14.2
"4","Gordon Hayward","BOS",29727900,0,517,409,5.3,11.9,0.444,1.3,3.6,0,0.82,4,8.3,0.481927710843373,31.3,3.8,4.6,0.7,3.4,4.2,3.4,1,0.4,2,1.8,15.6
"5","Blake Griffin","DET",29512900,0,529,529,8.2,16.1,0.508,0.4,1.1,0,0.683,7.8,15,0.52,35,4.7,6.9,2.3,6.9,9.2,4.3,0.9,0.5,2.5,2.9,21.5
"6","Kyle Lowry","TOR",28703704,0,791,555,4.6,10.9,0.425,1.7,4.7,0,0.803,2.9,6.2,0.467741935483871,31.1,3.4,4.3,0.8,3.4,4.2,5.9,1.3,0.3,2.2,2.7,14.4
"7","Russell Westbrook","OKC",28530608,0,748,731,8,18.4,0.435,1.1,3.5,0,0.814,6.9,14.9,0.463087248322148,34.4,5.9,7.2,1.7,4.9,6.6,8.2,1.7,0.3,4,2.4,23
"8","Mike Conley","MEM",28530608,0,718,688,5.1,11.6,0.441,1.3,3.4,0,0.814,3.8,8.2,0.463414634146341,32.5,2.7,3.3,0.4,2.5,2.9,5.7,1.5,0.2,2,2,14.3
"9","James Harden","HOU",28299399,0,687,474,6.8,15.3,0.443,2.4,6.6,0,0.854,4.4,8.7,0.505747126436782,33.8,7.1,8.3,0.8,4.3,5.1,6.1,1.5,0.5,3.5,2.5,23
"10","DeMar DeRozan","TOR",27739975,0,675,663,7,15.6,0.448,0.5,1.7,0,0.827,6.5,13.9,0.467625899280576,34.1,5.2,6.3,0.8,3.3,4.1,3.1,1,0.3,2,2.2,19.7
"11","Al Horford","BOS",27734405,0,718,714,6,11.4,0.525,0.4,1.1,0,0.75,5.6,10.3,0.543689320388349,33.2,1.8,2.4,2.2,6.4,8.6,3.2,0.8,1.2,1.6,2.3,14.2
"12","Carmelo Anthony","OKC",26243760,0,1054,1054,8.6,19.2,0.449,1.3,3.7,0,0.812,7.3,15.5,0.470967741935484,35.9,5.6,6.9,1.7,4.8,6.5,3,1,0.5,2.7,2.9,24.1
"13","Damian Lillard","POR",26153057,0,469,469,7.7,17.8,0.432,2.7,7.3,0,0.884,5,10.5,0.476190476190476,36.4,5.1,5.7,0.6,3.5,4.1,6.2,0.9,0.3,2.8,2.1,23.1
"14","Jrue Holiday","NOP",25686667,0,585,512,5.9,13.2,0.45,1.2,3.3,0,0.788,4.7,9.9,0.474747474747475,32.8,1.9,2.4,0.8,2.9,3.7,6.2,1.5,0.4,2.7,2.3,14.9
"15","Chris Bosh","MIA",25289390,0,893,881,7,14.1,0.494,0.3,1,0,0.799,6.7,13.1,0.511450381679389,35.8,5,6.3,2.2,6.3,8.5,2,0.8,1,2,2.4,19.2
"16","Kevin Durant","GSW",2.5e+07,0,771,771,9.2,18.8,0.49,1.9,4.8,0,0.882,7.3,14,0.521428571428571,37.1,6.9,7.8,0.8,6.4,7.1,3.9,1.2,1.1,3.1,1.9,27.1
"17","Chris Paul","HOU",24599495,0,892,892,6.6,13.9,0.472,1.3,3.4,0,0.868,5.3,10.5,0.504761904761905,35.3,4.3,4.9,0.7,3.8,4.5,9.8,2.3,0.1,2.4,2.5,18.7
"18","Bradley Beal","WAS",23775506,0,406,372,6.9,15.5,0.446,2.1,5.4,0,0.794,4.8,10.1,0.475247524752475,33.9,2.7,3.5,0.8,3,3.7,3.4,1.1,0.3,2,2.1,18.7
"19","Anthony Davis","NOP",23775506,0,410,405,8.8,17.1,0.517,0.3,1.1,0,0.795,8.5,16,0.53125,34.8,5.4,6.8,2.5,7.8,10.3,1.9,1.3,2.4,1.8,2.4,23.4
"20","Andre Drummond","DET",23775506,0,463,413,5.8,10.6,0.545,0,0.1,0,0.421,5.8,10.5,0.552380952380952,30.4,2,4.7,4.7,8.7,13.4,1.1,1.3,1.5,1.7,3.1,13.6
"21","Hassan Whiteside","MIA",23775506,0,271,206,5.6,9.8,0.575,0,0,0,0.627,5.6,9.8,0.571428571428571,26.8,2.4,3.8,3.2,8.2,11.4,0.5,0.6,2.4,1.6,2.6,13.6
"22","Dwight Howard","CHO",23500000,0,1035,1034,6.3,10.8,0.583,0,0.1,0,0.566,6.3,10.7,0.588785046728972,34.5,4.8,8.5,3.5,9.1,12.7,1.5,0.9,2,2.9,3.2,17.4
"23","Chandler Parsons","MEM",23112004,0,410,366,5,10.8,0.466,1.6,4.2,0,0.708,3.4,6.6,0.515151515151515,31,1.5,2.1,0.9,3.8,4.6,2.8,0.9,0.4,1.5,2,13.1
"24","Harrison Barnes","DAL",23112004,0,463,402,5,11,0.451,1,2.8,0,0.789,4,8.2,0.487804878048781,30.4,2.1,2.7,1,3.9,4.9,1.5,0.7,0.2,1.2,1.7,13.1
"25","Marc Gasol","MEM",22642350,0,716,709,5.6,11.6,0.487,0.3,0.9,0,0.779,5.3,10.7,0.495327102803738,33.7,3.6,4.6,1.8,5.9,7.7,3.3,0.9,1.5,2.1,2.9,15.2
"26","Kevin Love","CLE",22642350,0,635,553,6.1,13.6,0.444,1.6,4.4,0,0.824,4.5,9.2,0.489130434782609,32.2,4.6,5.6,3,8.3,11.3,2.3,0.7,0.5,1.9,2.1,18.3
